"Title","Posted","Link"
"Visma Solutions Summer Trainees 2024","15.12.","https://duunitori.fi//tyopaikat/tyo/visma-solutions-visma-solutions-summer-trainees-2024-sdsuu-17644778"
"Kesätyö  IT-harjoittelija laboratorioon","1.12.","https://duunitori.fi//tyopaikat/tyo/kesatyo-it-harjoittelija-laboratorioon-suspm-17608086"
"Graduate  IT","5.12.","https://duunitori.fi//tyopaikat/tyo/graduate-it-suspm-17609068"
"Summer Trainee  IT Compliance Management","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-it-compliance-management-suspm-17608256"
"Summer Trainee  Application Platforms","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-application-platforms-suspm-17608069"
"Summer Trainee  IT Business Services","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-it-business-services-suspm-17608254"
"Summer Trainee  IT Business Services","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-it-business-services-suspm-17608255"
"Summer Trainee  IT/OT Cybersecurity","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-itot-cybersecurity-suspm-17608257"
"Summer Trainee  IT Service Delivery","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-it-service-delivery-suspm-17608258"
"Summer Trainee  IT Service Management and ITCC support","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-it-service-management-and-itcc-support-suspm-17608259"
"Summer Trainee  Services for Raflatac IT Design & Operations","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-services-for-raflatac-it-design-operations-suspm-17608278"
"Summer Trainee  Source to Pay Process and Solutions Development","1.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-source-to-pay-process-and-solutions-development-suspm-17608279"
"Summer Trainee  Embedded Software","13.12.","https://duunitori.fi//tyopaikat/tyo/summer-trainee-embedded-software-sksem-17637203"
"ChargEye Summer Trainee Program 2024 by Kempower - Cloud Software Trainee","4.12.","https://duunitori.fi//tyopaikat/tyo/chargeye-summer-trainee-program-2024-by-kempower-cloud-software-trainee-sksem-17604571"
"Kesätyö 2024: Junior ICT-Specialist  Telia Cygate","12.12.","https://duunitori.fi//tyopaikat/tyo/kesatyo-2024-junior-ict-specialist-telia-cygate-stsel-17629807"
"Junior ohjelmistokehittäjä - Career Compass 2024","4.12.","https://duunitori.fi//tyopaikat/tyo/junior-ohjelmistokehittaja-career-compass-2024-sdsig-17607732"
"Juniori Java- / JavaScript-kehittäjä/RekryKoulutus  Vireum Oy  Suonenjoki","3.12.","https://duunitori.fi//tyopaikat/tyo/juniori-java-javascript-kehittajarekrykoulutus-vireum-oy-suonenjoki-stsyo-17605116"
"Korkeakouluharjoittelija (oikeustiede/hallinto) It  Itä-Uudenmaan käräjäoikeus  Vantaa","3.12.","https://duunitori.fi//tyopaikat/tyo/korkeakouluharjoittelija-oikeustiedehallinto-it-ita-uudenmaan-karajaoikeus-vantaa-stsyo-17604840"
"Junior Solution Consultant  Logistics and Supply Chain Management","1.12.","https://duunitori.fi//tyopaikat/tyo/junior-solution-consultant-logistics-and-supply-chain-management-scsom-17603254"
"Junior Software Developer  Microsoft Dynamics 365","1.12.","https://duunitori.fi//tyopaikat/tyo/junior-software-developer-microsoft-dynamics-365-scsom-17603255"
"Lääkäriksi YTHS:lle","23.11.","https://duunitori.fi//tyopaikat/tyo/laakariksi-ythslle-sdsuu-17570334"
"Haussa myyjiä Helsinkiin  Tampereelle ja Ouluun","1.12.","https://duunitori.fi//tyopaikat/tyo/sector-alarm-haussa-myyjia-helsinkiin-turkuun-ja-tampereelle-turku-sdsuu-17597412"
"Varhaiskasvatuksen opettajia","30.11.","https://duunitori.fi//tyopaikat/tyo/tuusulan-kunta-tule-tuusulaan-varhaiskasvatuksen-opettajaksi-sdsuu-17593863"
"UPM Kesätyöhaku","1.12.","https://duunitori.fi//tyopaikat/tyo/upm-kymmene-upm-kesatyohaku-sdsuu-17597593"
"Rakennesuunnittelun projektipäällikkö","19.12.","https://duunitori.fi//tyopaikat/tyo/rakennesuunnittelun-projektipaallikko-srsam-17652849"
"Investointipalvelun päällikkö","14.12.","https://duunitori.fi//tyopaikat/tyo/investointipalvelun-paallikko-ssab-europe-oy-raahe-stsyo-17637302"
"Hydrauliikkasuunnittelija","17.12.","https://duunitori.fi//tyopaikat/tyo/ponsse-hydrauliikkasuunnittelija-finland-sdsuu-17651953"
"Visma Solutions Summer Trainees 2024","15.12.","https://duunitori.fi//tyopaikat/tyo/visma-solutions-visma-solutions-summer-trainees-2024-sdsuu-17644778"
